"","game","point","possession","Thrower","Receiver","Turnover?","Thrower error?","Receiver error?","Throw to endzone?","Assist?","Secondary assist?","Huck?","Swing?","Dump?","From sideline?","To sideline?","Distance (m)","Forward distance (m)","Left-to-right distance (m)","pass.start.x","pass.start.y","pass.end.x","pass.end.y","possessionID","Started point on offense?","Scored?","possession.start.x","possession.start.y","Initiator","Passes","Secondary assist","Assist","Goal","Thrower error","Receiver error","Stalled out","line","passes"
"1","Carleton 2025-03-02_10-00",1,1,"Caelan McSweeney","Roan Dunkerley",0,0,0,"0",0,0,0,1,0,0,1,13.552718,6.406249,11.943038,0.43459916,0.6193182,0.11181434,0.56107956,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"2","Carleton 2025-03-02_10-00",1,1,"Roan Dunkerley","Ethan Lieman",0,0,0,"0",0,0,0,0,0,1,1,10.48381,10.078128,2.8881855,0.11181434,0.56107956,0.033755273,0.46946022,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"3","Carleton 2025-03-02_10-00",1,1,"Ethan Lieman","Caelan McSweeney",0,0,0,"0",0,0,0,1,0,1,0,17.384779,-5.078126,-16.626581,0.033755273,0.46946022,0.48312235,0.515625,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"4","Carleton 2025-03-02_10-00",1,1,"Caelan McSweeney","Luca Harwood",0,0,0,"0",0,0,0,1,0,0,0,14.03437,5.3906255,-12.957806,0.48312235,0.515625,0.8333333,0.4666193,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"5","Carleton 2025-03-02_10-00",1,1,"Luca Harwood","Roan Dunkerley",0,0,0,"0",0,0,0,1,0,0,0,14.157343,5.7031255,12.957806,0.8333333,0.4666193,0.48312235,0.41477272,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"6","Carleton 2025-03-02_10-00",1,1,"Roan Dunkerley","Ethan Lieman",0,0,0,"0",0,0,0,1,0,0,1,14.343829,4.374999,13.6603365,0.48312235,0.41477272,0.11392405,0.375,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"7","Carleton 2025-03-02_10-00",1,1,"Ethan Lieman","Griffin Gee",0,0,0,"0",0,0,0,0,0,1,1,8.469547,8.203126,2.107595,0.11392405,0.375,0.056962024,0.30042613,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"8","Carleton 2025-03-02_10-00",1,1,"Griffin Gee","Ethan Lieman",0,0,0,"0",0,0,0,0,0,1,1,5.083519,5.0781226,-0.23417728,0.056962024,0.30042613,0.06329114,0.25426137,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"9","Carleton 2025-03-02_10-00",1,1,"Ethan Lieman","Caelan McSweeney",0,0,0,"0",0,0,0,0,1,1,0,13.145772,-7.4218755,-10.850211,0.06329114,0.25426137,0.35654008,0.32173297,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"10","Carleton 2025-03-02_10-00",1,1,"Caelan McSweeney","Carter Hawkins",0,0,0,"0",0,0,0,0,0,0,0,7.4195123,4.8437505,5.620253,0.35654008,0.32173297,0.20464136,0.27769887,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"11","Carleton 2025-03-02_10-00",1,1,"Carter Hawkins","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,0,0,6.873419,5.5468755,-4.059071,0.20464136,0.27769887,0.314346,0.22727273,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"12","Carleton 2025-03-02_10-00",1,1,"Caelan McSweeney","Ethan Lieman",0,0,0,"0",0,1,0,0,0,0,1,7.3412943,-0.23437396,7.337552,0.314346,0.22727273,0.116033755,0.2294034,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"13","Carleton 2025-03-02_10-00",1,1,"Ethan Lieman","Griffin Gee",0,0,0,"1",1,0,0,0,0,1,0,14.191543,10.078124,-9.991561,0.116033755,0.2294034,0.38607594,0.1377841,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"14","Carleton 2025-03-02_10-00",3,1,"Carter Hawkins","Shiff Burt",0,0,0,"0",0,0,0,0,1,0,0,14.839368,-12.265626,-8.352321,0.20042194,0.62571025,0.42616034,0.73721594,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
