"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"1","Carleton 2025-03-02_10-00",1,0,0,1,1,1,13,0,0,0,0,0,"Caelan McSweeney","Ethan Lieman","Griffin Gee"
"2","Carleton 2025-03-02_10-00",2,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"3","Carleton 2025-03-02_10-00",3,1,1,1,0,1,12,1,1,0,0,0,NA,NA,NA
"4","Carleton 2025-03-02_10-00",4,1,2,1,1,1,7,0,0,0,0,0,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson"
"5","Carleton 2025-03-02_10-00",5,2,2,0,1,2,11,1,1,0,2,0,"Artie Aucoin","Ethan Lieman","Nima Lhamo"
"6","Carleton 2025-03-02_10-00",6,3,2,0,1,1,5,0,0,0,1,0,"Charlie Leightheiser","Mason Stone","Gavin Abrahamson"
"7","Carleton 2025-03-02_10-00",7,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"8","Carleton 2025-03-02_10-00",8,4,3,1,1,1,17,0,0,0,0,0,"Caelan McSweeney","Carter Hawkins","Luca Harwood"
"9","Carleton 2025-03-02_10-00",9,5,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
"10","Carleton 2025-03-02_10-00",10,5,4,1,0,1,3,1,1,0,0,0,NA,NA,NA
"11","Carleton 2025-03-02_10-00",11,5,5,1,1,1,3,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Gavin Abrahamson"
"12","Carleton 2025-03-02_10-00",12,6,5,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","Carleton 2025-03-02_10-00",13,6,6,1,1,1,11,0,0,0,0,0,"Ethan Lieman","Carter Hawkins","Ethan Lieman"
"14","Carleton 2025-03-02_10-00",14,7,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
"15","Carleton 2025-03-02_10-00",15,7,7,1,1,1,5,0,0,0,0,0,"Gavin Abrahamson","Caelan McSweeney","Carter Hawkins"
"16","Carleton 2025-03-02_10-00",16,8,7,0,1,1,21,0,0,0,0,1,"Artie Aucoin","Carter Hawkins","Shiff Burt"
"17","Carleton 2025-03-02_10-00",17,9,7,0,1,1,16,0,0,0,1,0,"Tomo Liou","Artie Aucoin","Leo Narbonne"
"18","Carleton 2025-03-02_10-00",18,10,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
"19","Carleton 2025-03-02_10-00",19,10,8,1,1,1,3,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Gavin Abrahamson"
"20","Carleton 2025-03-02_10-00",20,11,8,0,0,0,0,0,0,0,0,0,NA,NA,NA
"21","Carleton 2025-03-02_10-00",21,11,9,1,1,1,14,0,0,0,0,0,"Caelan McSweeney","Carter Hawkins","Roan Dunkerley"
"22","Carleton 2025-03-02_10-00",22,12,9,0,1,2,19,1,1,0,2,0,"Calan Kirkpatrick","Artie Aucoin","Leo Narbonne"
"23","Carleton 2025-03-02_10-00",23,13,9,0,0,0,0,0,0,0,0,0,NA,NA,NA
"24","Carleton 2025-03-02_10-00",24,13,10,1,0,1,11,1,1,0,0,0,NA,NA,NA
"25","Carleton 2025-03-02_10-00",25,13,11,1,0,1,7,1,1,0,0,0,NA,NA,NA
"26","Carleton 2025-03-02_10-00",26,13,12,1,1,1,19,0,0,0,0,0,"Calan Kirkpatrick","Artie Aucoin","Leo Narbonne"
"27","Carleton 2025-03-02_10-00",27,14,12,0,0,0,0,0,0,0,0,0,NA,NA,NA
"28","Carleton 2025-03-02_10-00",28,14,13,1,1,1,14,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Gavin Abrahamson"
"29","Carleton 2025-03-02_10-00",29,15,13,0,0,0,0,0,0,0,0,0,NA,NA,NA
"30","CUT 2025-02-02_09-50",1,0,0,1,1,1,11,0,0,0,0,0,"Griffin Gee","Carter Hawkins","Gavin Abrahamson"
"31","CUT 2025-02-02_09-50",2,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"32","CUT 2025-02-02_09-50",3,1,1,1,1,1,5,0,0,0,0,0,"Gavin Abrahamson","Roan Dunkerley","Shiff Burt"
"33","CUT 2025-02-02_09-50",4,2,1,0,0,1,4,1,1,0,0,1,NA,NA,NA
"34","CUT 2025-02-02_09-50",5,2,2,1,0,2,12,2,2,0,0,1,NA,NA,NA
"35","CUT 2025-02-02_09-50",6,2,3,1,0,1,4,1,0,1,0,0,NA,NA,NA
"36","CUT 2025-02-02_09-50",7,2,4,1,1,1,14,0,0,0,0,0,"Ethan Lieman","Caelan McSweeney","Luca Harwood"
"37","CUT 2025-02-02_09-50",8,3,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","CUT 2025-02-02_09-50",9,3,5,1,1,1,16,0,0,0,0,0,"Caelan McSweeney","Luca Harwood","Carter Hawkins"
"39","CUT 2025-02-02_09-50",10,4,5,0,0,1,6,1,1,0,0,1,NA,NA,NA
"40","CUT 2025-02-02_09-50",11,4,6,1,1,2,6,1,1,0,1,0,"Griffin Gee","Carter Hawkins","Ethan Lieman"
"41","CUT 2025-02-02_09-50",12,5,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
"42","CUT 2025-02-02_09-50",13,5,7,0,0,1,1,1,0,1,0,1,NA,NA,NA
"43","CUT 2025-02-02_09-50",14,5,8,1,1,1,12,0,0,0,0,0,"Caelan McSweeney","Carter Hawkins","Luca Harwood"
"44","CUT 2025-02-02_09-50",15,6,8,0,0,0,0,0,0,0,0,0,NA,NA,NA
