Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-01-31 15:24:27,2,,1,0,0,0,0.9308357,0.99903005
2025-01-31 15:30:45,3,Sam Green,0,0,0,0,0.74472576,0.41548297
2025-01-31 15:34:48,4,Jonathan Coombs,0,0,0,0,0.24261603,0.7521307
2025-01-31 15:49:58,8,Mason Stone,0,0,0,0,0.8059072,0.40482953
2025-01-31 16:07:00,11,Griffin Gee,0,0,0,0,0.59915614,0.578125
2025-01-31 16:07:21,11,Carter Hawkins,0,0,0,0,0.22573839,0.7223011
2025-01-31 16:07:54,11,Griffin Gee,1,0,0,0,0.62025315,0.86434656
2025-01-31 16:09:29,11,Griffin Gee,0,0,0,0,0.37763712,0.2997159
2025-01-31 16:12:39,12,Mason Stone,0,0,0,0,0.66033757,0.43892047
2025-01-31 16:24:05,15,Wes K-H,0,0,0,0,0.56329113,0.609375
