Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-02-01 11:43:45,2,Ethan Lieman,0,0,0,0,0.116033755,0.45454547
2025-02-01 11:48:59,4,Taylor Hanson,0,0,0,0,0.7848101,0.4637784
2025-02-01 11:51:15,4,Taylor Hanson,0,0,0,0,0.18354431,0.7599432
2025-02-01 11:59:01,7,Roan Dunkerley,0,0,0,0,0.5443038,0.38991478
2025-02-01 12:01:43,8,Gavin Abrahamson,0,0,0,0,0.39873418,0.734375
2025-02-01 12:04:59,9,Mason Stone,0,0,0,0,0.6772152,0.36860797
2025-02-01 12:22:40,12,Shiff Burt,0,0,0,0,0.56540084,0.6136364
2025-02-01 12:31:07,15,Ian Buchanon,0,0,0,0,0.57172996,0.55397725
2025-02-01 12:34:16,16,Ian Buchanon,0,0,0,0,0.78902954,0.71377844
2025-02-01 12:34:34,16,Roan Dunkerley,0,0,0,0,0.3206751,0.55752844
2025-02-01 12:35:50,16,Roan Dunkerley,0,0,0,0,0.75527424,0.66548294
