Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2025-03-02 10:00:26,Carleton,2025-03-02,10:00,9,15,13,Win,10,5,21,14,7,211,6,6,0,6,1,0,0
2025-02-28 13:51:37,Texas,2025-02-28,11:30,17,12,11,Win,7,5,30,20,10,136,18,16,2,9,10,0,0
2025-01-28 00:25:49,Georgia,2025-01-31,13:30,22,10,11,Loss,8,2,23,14,9,148,13,13,1,6,7,0,0
2025-02-01 17:00:41,UVM,2025-02-01,17:50,4,13,8,Win,8,5,24,14,10,163,11,10,1,7,8,0,0
2025-01-28 00:26:34,Utah State,2025-01-31,11:40,21,10,8,Win,8,2,26,13,13,126,16,11,6,7,10,0,0
2025-02-02 09:20:38,CUT,2025-02-02,09:50,8,10,13,Loss,8,2,21,13,8,139,11,8,3,3,6,0,0
2025-02-28 13:51:19,Minnesota,2025-02-28,13:51,0,0,0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28 13:51:28,Georgia Tech,2025-02-28,13:51,0,11,9,Win,8,3,34,18,16,212,23,15,8,9,16,0,0
2025-02-01 21:30:17,Wash U,2025-02-02,08:00,0,13,9,Win,9,4,21,12,9,184,8,7,1,6,5,0,0
2025-03-02 05:51:29,Vermont,2025-03-02,08:00,12,15,10,Win,9,6,29,16,13,162,13,10,3,9,9,0,1
2025-01-28 00:27:33,Virginia Tech,2025-02-01,11:40,11,13,4,Win,5,8,18,6,12,94,5,5,1,11,2,0,0
2025-03-01 13:21:30,Pitt,2025-03-01,13:30,19,15,8,Win,7,8,27,11,16,148,12,11,1,5,13,0,0
2025-01-28 00:26:21,Florida,2025-01-31,15:20,0,13,3,Win,4,9,23,10,13,112,10,5,5,10,9,0,0
2025-03-02 11:59:28,UNC,2025-03-02,11:59,8,14,15,Loss,12,2,29,23,6,197,15,13,2,5,9,0,0
2025-01-28 00:26:11,Michigan,2025-02-01,13:30,4,13,7,Win,8,5,19,8,11,101,6,4,2,7,4,0,0
